LINKS,MOOD,TITLE ,ARTIST
https://youtu.be/atVof3pjT-I?si=V2jUOT-T11mR_Chg,sad,Kaun Tujhe,Armaan Malik
https://youtu.be/K-Ts-NFR62o?si=iJatsaqLN_eGxFZQ,neutral,Jab Tak,Armaan Malik
https://youtu.be/VhRwuWp4MQ8?si=ow5FR9vpvAtNQeRf,happy,Jeene Laga hoon,Atif Aslam & Shreya Ghoshal
https://youtu.be/jwY0wDCQt4s?si=9_CPO188XJNRWvh7,happy,Kaanunna Kalyanam,"Anurag Kulkarni , Sinduri S"
https://youtu.be/7ePTGf3fUsI?si=EEdEUEyA1KFYKEYs,neutral,Oh Prema,"Kapil Kapilan, Chinmayi Sripada"
https://youtu.be/dOKQeqGNJwY?si=ZQRwy_XsWi1cwRNo,neutral,Inthandham,SPB Charan
https://youtu.be/Tru9NqcMZoQ?si=JGl6Ss3KZJFMzNDT,sad,EVARINI ADAGANU ,Yazin Nizar
https://youtu.be/4adZ7AguVcw?si=4P0ANe9HmD7NWle8,calm,Blue,Yung Kai
https://youtu.be/_WH9FPw6Zw8?si=iekKTSfI4ll3Gjg2,happy,SAUDAGAR SAUDA KAR,"Kavita Krishnamurthy, Sukhwinder Singh, Manhar Udhas"
https://youtu.be/cJZKEklZhdM?si=kYXPMRcN2CnUNLsN,fear,SHAUQ,"Swanand Kirkire, Shahid Mallya, Sireesha Bhagavatula"
https://youtu.be/1Sv4Qfp-la4?si=q68jAdJWTaxQaC_9,happy,APA FER MILAANGE,Savi Kahlon
https://youtu.be/lk4lraE0wxU?si=St3eORzi2jtg6Ujh,happy,Main Badhiya Tu Bhi Badhiya,Sonu Nigam & Sunidhi Chauhan
https://youtu.be/KtlgYxa6BMU?si=5DRrsFlC6ue89K7N,fear,The Night WE met,Lord Huron
https://youtu.be/R4He_Gcn7cA?si=OUiicShIXNHv6oD-,angry,The Monster Song,"Ravi Basrur, Adithi Sagar"
https://youtu.be/6SrKzsWtgeQ?si=wHVBIusz8A3kUH7M,sad,Yadagara Yadagara,Suchetha Basrur
